fullName,ID,email,phone,spa,fare
Juan Pérez López,57621743Z,juan.perez@gmail.com,600703842,Spa Relaxing Sevilla,150
Ana Gómez Hernández,59382741Y,ana.gomez@gmail.com,600210487,Spa Relaxing Valencia,90
Luis Martínez García,58937265X,luis.martinez@gmail.com,600354871,Spa Relaxing Madrid,90
María Rodríguez López,49273846Y,maria.rodriguez@gmail.com,600592374,Spa Relaxing Barcelona,90
Carlos Fernández López,48592673X,carlos.fernandez@gmail.com,600134958,Spa Relaxing Sevilla,199
Laura Sánchez Hernández,39582746Z,laura.sanchez@gmail.com,600675829,Spa Relaxing Valencia,90
José Díaz Martínez,78492653Y,jose.diaz@gmail.com,600248390,Spa Relaxing Madrid,150
Carmen Ramírez González,69582734X,carmen.ramirez@gmail.com,600302948,Spa Relaxing Barcelona,50
Juan Pérez Hernández,58672934Y,juan.perez2@gmail.com,600492384,Spa Relaxing Sevilla,90
Ana Gómez García,49782963Z,ana.gomez2@gmail.com,600203948,Spa Relaxing Valencia,199
Luis Martínez López,49827563X,luis.martinez2@gmail.com,600473829,Spa Relaxing Madrid,199
María Rodríguez Hernández,37284956Y,maria.rodriguez2@gmail.com,600593847,Spa Relaxing Barcelona,90
Carlos Fernández García,94857263X,carlos.fernandez2@gmail.com,600473829,Spa Relaxing Sevilla,150
Laura Sánchez López,57382649Y,laura.sanchez2@gmail.com,600348295,Spa Relaxing Valencia,90
José Díaz Hernández,39285746Z,jose.diaz2@gmail.com,600193847,Spa Relaxing Madrid,50
Carmen Ramírez Martínez,58379264X,carmen.ramirez2@gmail.com,600384758,Spa Relaxing Barcelona,199
Juan Pérez González,94857263Y,juan.perez3@gmail.com,600938475,Spa Relaxing Sevilla,90
Ana Gómez López,59384726X,ana.gomez3@gmail.com,600293847,Spa Relaxing Valencia,150
Luis Martínez Hernández,48957362Y,luis.martinez3@gmail.com,600847392,Spa Relaxing Madrid,90
María Rodríguez García,39285746Z,maria.rodriguez3@gmail.com,600384759,Spa Relaxing Barcelona,50
Carlos Fernández Hernández,59384726X,carlos.fernandez3@gmail.com,600294857,Spa Relaxing Sevilla,199
Laura Sánchez García,49782934Y,laura.sanchez3@gmail.com,600594839,Spa Relaxing Valencia,90
José Díaz López,94857263X,jose.diaz3@gmail.com,600384792,Spa Relaxing Madrid,150
Carmen Ramírez Hernández,57382946Y,carmen.ramirez3@gmail.com,600938475,Spa Relaxing Barcelona,90
Juan Pérez Martínez,58379264Z,juan.perez4@gmail.com,600394857,Spa Relaxing Sevilla,150
Ana Gómez González,94857263X,ana.gomez4@gmail.com,600473829,Spa Relaxing Valencia,199
Luis Martínez López,59384726Y,luis.martinez4@gmail.com,600384759,Spa Relaxing Madrid,90
María Rodríguez Hernández,39285746X,maria.rodriguez4@gmail.com,600293847,Spa Relaxing Barcelona,150
Carlos Fernández García,48957362Y,carlos.fernandez4@gmail.com,600473829,Spa Relaxing Sevilla,90
Laura Sánchez Hernández,59384726Z,laura.sanchez4@gmail.com,600203948,Spa Relaxing Valencia,199
José Díaz Martínez,58379264X,jose.diaz4@gmail.com,600294857,Spa Relaxing Madrid,199
Carmen Ramírez López,94857263Y,carmen.ramirez4@gmail.com,600384759,Spa Relaxing Barcelona,90
Juan Pérez Hernández,49782934X,juan.perez5@gmail.com,600293847,Spa Relaxing Sevilla,150
Ana Gómez García,58379264Y,ana.gomez5@gmail.com,600394857,Spa Relaxing Valencia,90
Luis Martínez López,94857263Z,luis.martinez5@gmail.com,600938475,Spa Relaxing Madrid,50
María Rodríguez Hernández,59384726X,maria.rodriguez5@gmail.com,600473829,Spa Relaxing Barcelona,199
Carlos Fernández González,48957362Y,carlos.fernandez5@gmail.com,600384759,Spa Relaxing Sevilla,90
Laura Sánchez López,94857263X,laura.sanchez5@gmail.com,600293847,Spa Relaxing Valencia,150
José Díaz Hernández,59384726Y,jose.diaz5@gmail.com,600203948,Spa Relaxing Madrid,90
Carmen Ramírez García,58379264Z,carmen.ramirez5@gmail.com,600294857,Spa Relaxing Barcelona,199
Juan Pérez López,94857263X,juan.perez6@gmail.com,600384759,Spa Relaxing Sevilla,199
Ana Gómez Hernández,59384726Y,ana.gomez6@gmail.com,600203948,Spa Relaxing Valencia,90
Luis Martínez García,58379264X,luis.martinez6@gmail.com,600293847,Spa Relaxing Madrid,150
María Rodríguez López,94857263Y,maria.rodriguez6@gmail.com,600394857,Spa Relaxing Barcelona,90
Carlos Fernández Hernández,59384726Z,carlos.fernandez6@gmail.com,600938475,Spa Relaxing Sevilla,90
Laura Sánchez García,58379264X,laura.sanchez6@gmail.com,600473829,Spa Relaxing Valencia,199
José Díaz López,94857263X,jose.diaz6@gmail.com,600384759,Spa Relaxing Madrid,90
Carmen Ramírez Hernández,59384726X,carmen.ramirez6@gmail.com,600203948,Spa Relaxing Barcelona,150
Juan Pérez González,58379264Y,juan.perez7@gmail.com,600293847,Spa Relaxing Sevilla,90
Ana Gómez López,94857263Z,ana.gomez7@gmail.com,600394857,Spa Relaxing Valencia,50
Luis Martínez Hernández,59384726X,luis.martinez7@gmail.com,600938475,Spa Relaxing Madrid,199
María Rodríguez García,58379264Y,maria.rodriguez7@gmail.com,600473829,Spa Relaxing Barcelona,90
Carlos Fernández López,94857263Y,carlos.fernandez7@gmail.com,600384759,Spa Relaxing Sevilla,150
Laura Sánchez Hernández,59384726X,laura.sanchez7@gmail.com,600203948,Spa Relaxing Valencia,90
José Díaz Martínez,58379264Z,jose.diaz7@gmail.com,600294857,Spa Relaxing Madrid,50
Carmen Ramírez González,94857263X,carmen.ramirez7@gmail.com,600394857,Spa Relaxing Barcelona,199
Juan Pérez Hernández,59384726Y,juan.perez8@gmail.com,600938475,Spa Relaxing Sevilla,199
Ana Gómez García,58379264X,ana.gomez8@gmail.com,600473829,Spa Relaxing Valencia,90
Luis Martínez López,94857263Y,luis.martinez8@gmail.com,600384759,Spa Relaxing Madrid,150
María Rodríguez Hernández,59384726Y,maria.rodriguez8@gmail.com,600203948,Spa Relaxing Barcelona,90
Carlos Fernández García,58379264Z,carlos.fernandez8@gmail.com,600294857,Spa Relaxing Sevilla,150
Laura Sánchez López,94857263X,laura.sanchez8@gmail.com,600384759,Spa Relaxing Valencia,90
José Díaz Hernández,59384726Y,jose.diaz8@gmail.com,600203948,Spa Relaxing Madrid,150
Carmen Ramírez García,58379264Y,carmen.ramirez8@gmail.com,600293847,Spa Relaxing Barcelona,90
Juan Pérez López,94857263Z,juan.perez9@gmail.com,600394857,Spa Relaxing Sevilla,199
Ana Gómez Hernández,59384726X,ana.gomez9@gmail.com,600938475,Spa Relaxing Valencia,199
Luis Martínez García,58379264X,luis.martinez9@gmail.com,600473829,Spa Relaxing Madrid,90
María Rodríguez López,94857263X,maria.rodriguez9@gmail.com,600384759,Spa Relaxing Barcelona,150
Carlos Fernández Hernández,59384726Y,carlos.fernandez9@gmail.com,600203948,Spa Relaxing Sevilla,90
